driver_id,vehicle_type,distance_to_pickup_mi,dropoff_distance_mi,delivery_size_lbs,offered_pay_usd,acceptance_rate_7d,acceptance_rate_14d,acceptance_rate_30d,reliability_score,traffic_delay_min,weather_delay_factor,hour_of_day,day_of_week,accepted
driver_000,electric,2.36,4.35,49,19.28,89,83,75,70,45,0.38,22,6,1
driver_000,electric,5.21,11.09,37,22.73,79,62,59,64,5,0.14,2,6,1
driver_000,electric,7.38,3.15,8,18.57,77,70,62,92,20,0.39,11,6,1
driver_000,electric,8.7,1.18,12,11.58,99,59,59,65,4,0.81,16,5,0
driver_000,electric,8.4,8.42,14,18.64,70,60,55,95,1,0.38,18,1,1
driver_000,electric,7.44,14.14,13,16.01,96,77,56,91,20,0.2,7,2,1
driver_000,electric,6.24,12.54,37,24.31,50,49,42,77,34,0.5,20,6,0
driver_000,electric,8.89,0.93,37,21.19,57,57,55,66,19,0.55,6,0,1
driver_000,electric,0.8,5.3,2,19.03,52,50,41,87,21,0.84,13,0,0
driver_000,electric,6.82,7.41,18,23.01,84,64,46,75,28,0.69,22,3,1
driver_000,electric,7.57,8.46,4,22.44,59,47,46,78,3,0.6,2,1,0
driver_000,electric,6.84,12.87,30,19.75,59,58,41,63,16,0.5,5,6,0
driver_000,electric,4.37,6.04,48,14.16,72,64,57,65,36,0.8,21,3,0
driver_000,electric,9.76,3.53,46,19.1,59,58,40,69,35,0.42,18,5,1
driver_000,electric,6.88,1.4,11,11.29,83,55,55,71,1,0.03,20,4,1
driver_000,electric,6.87,3.19,8,13.46,54,49,49,69,12,0.24,5,6,1
driver_000,electric,1.72,14.63,33,20.55,67,55,40,100,33,0.56,17,3,1
driver_000,electric,6.81,6.41,48,20.24,75,57,41,89,7,0.76,13,2,1
driver_000,electric,2.03,12.81,5,15.48,62,62,54,61,33,0.82,19,3,0
driver_000,electric,2.87,2.12,44,22.04,51,48,47,73,40,0.31,4,4,1
driver_000,electric,4.87,8.0,12,9.07,61,61,51,72,44,0.9,18,3,0
driver_000,electric,3.18,4.38,40,24.71,86,82,77,86,21,0.06,17,4,1
driver_000,electric,7.09,0.88,5,10.04,91,59,56,62,29,0.03,5,5,1
driver_000,electric,1.94,7.97,22,11.29,65,49,46,69,37,0.22,22,6,0
driver_000,electric,0.41,14.49,22,8.32,95,71,69,98,16,0.28,0,5,1
driver_000,electric,7.12,6.43,43,14.0,86,52,46,68,13,0.24,22,3,1
driver_000,electric,3.58,10.02,24,20.56,73,72,65,96,4,0.58,1,1,1
driver_000,electric,6.96,7.1,17,21.02,95,50,47,61,31,0.53,7,3,0
driver_000,electric,0.55,9.23,16,20.13,59,45,44,82,11,0.74,8,2,1
driver_000,electric,2.08,0.69,7,13.15,59,49,42,98,2,0.39,3,3,1
driver_000,electric,5.98,10.98,42,11.09,86,81,49,70,43,0.46,15,4,0
driver_000,electric,2.77,1.82,13,10.15,75,55,54,76,29,0.01,14,3,0
